"filename", "language", "JavaScript", "JSON", "C++", "Objective-C", "XML", "Groovy", "Properties", "Batch", "Java", "comment", "blank", "total"
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\.eslintrc.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\.prettierrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\.watchmanconfig", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\App.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\__tests__\App-test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 88, 0, 0, 0, 112, 23, 223
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\app\src\debug\java\com\animatedbottomtabs\ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 59, 8, 6, 73
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\app\src\main\java\com\animatedbottomtabs\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 4, 16
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\app\src\main\java\com\animatedbottomtabs\MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 60, 13, 9, 82
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 3, 10
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 30, 0, 0, 0, 5, 4, 39
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 19, 7, 29
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 22, 90
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\app.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\ios\AnimatedBottomTabsTests\AnimatedBottomTabsTests.m", "Objective-C", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 15, 66
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\ios\AnimatedBottomTabs\AppDelegate.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\ios\AnimatedBottomTabs\AppDelegate.m", "Objective-C", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 11, 63
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\ios\AnimatedBottomTabs\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\ios\AnimatedBottomTabs\Images.xcassets\Contents.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\ios\AnimatedBottomTabs\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 1, 48
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\ios\AnimatedBottomTabs\main.m", "Objective-C", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\metro.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\navigators\BottomNavigator.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 121
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\package-lock.json", "JSON", 0, 9187, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9188
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\screens\BookScreen.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\screens\HomeScreen.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\screens\ProfileScreen.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\ReactNativeApps\AnimatedBottomTabs\screens\SettingsScreen.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"Total", "-", 181, 9275, 5, 110, 88, 123, 8, 68, 127, 177, 153, 10315